"","Model"
"312","BN-2A-26 Islander"
"313","BN-2A-27 Islander"
"314","BN-2A-27 Islander"
"315","BN-2A-3 Islander"
"316","BN-2A-6 Islander"
"317","BN-2A-7 Islander"
"318","BN-2A-8 Islander"
"319","BN-2A-9 Islander"
"320","BN-2A-9R Islander"
"321","BN-2B-20 Islander"
"322","BN-2B-21 Islander"
"323","BN-2B-26 Islander"
"324","BN-2B-26 Islander"
"325","BN-2B-27 Islander"
"326","BN-2B-27 Islander"
"327","BN-2T Islander"
"328","Boeing"
"329","Boeing 314A"
"330","Boeing 377 Stratocruiser"
"331","Boeing 707"
"332","Boeing 707-121"
"333","Boeing 707-121B"
"334","Boeing 707-123"
"335","Boeing 707-123B"
"336","Boeing 707-124"
"337","Boeing 707-131"
"338","Boeing 707-131B"
"339","Boeing 707-138B"
"340","Boeing 707-139"
"341","Boeing 707-227"
"342","Boeing 707-300"
"343","Boeing 707-309C"
"344","Boeing 707-312B"
"345","Boeing 707-321"
"346","Boeing 707-321B"
"347","Boeing 707-321C"
"348","Boeing 707-323B"
"349","Boeing 707-323C"
"350","Boeing 707-324C"
"351","Boeing 707-327C"
"352","Boeing 707-328"
"353","Boeing 707-328B"
"354","Boeing 707-328C"
"355","Boeing 707-329"
"356","Boeing 707-329C"
"357","Boeing 707-330B"
"358","Boeing 707-330C"
"359","Boeing 707-331"
"360","Boeing 707-331B"
"361","Boeing 707-331C"
"362","Boeing 707-336B"
"363","Boeing 707-336C"
"364","Boeing 707-337C"
"365","Boeing 707-338C"
"366","Boeing 707-340C"
"367","Boeing 707-341C"
"368","Boeing 707-344C"
"369","Boeing 707-345C"
"370","Boeing 707-347C"
"371","Boeing 707-348C"
"372","Boeing 707-349C"
"373","Boeing 707-351B"
"374","Boeing 707-351C"
"375","Boeing 707-355C"
"376","Boeing 707-365C"
"377","Boeing 707-366C"
"378","Boeing 707-368C"
"379","Boeing 707-369C"
"380","Boeing 707-372C"
"381","Boeing 707-373C"
"382","Boeing 707-379C"
"383","Boeing 707-387B"
"384","Boeing 707-387C"
"385","Boeing 707-3B4C"
"386","Boeing 707-3B5C"
"387","Boeing 707-3D3C"
"388","Boeing 707-3F9C"
"389","Boeing 707-3J6C"
"390","Boeing 707-3J9C"
"391","Boeing 707-3K1C"
"392","Boeing 707-436"
"393","Boeing 707-437"
"394","Boeing 707-441"
"395","Boeing 707-458"
"396","Boeing 717-231"
"397","Boeing 717-23S"
"398","Boeing 717-2K9"
"399","Boeing 720"
"400","Boeing 720-023B"
"401","Boeing 720-025"
"402","Boeing 720-030B"
"403","Boeing 720-040B"
"404","Boeing 720-047B"
"405","Boeing 720-051B"
"406","Boeing 720-059B"
"407","Boeing 720-060B"
"408","Boeing 720B"
"409","Boeing 727"
"410","Boeing 727-022 (WL)"
"411","Boeing 727-023"
"412","Boeing 727-051"
"413","Boeing 727-113C"
"414","Boeing 727-114"
"415","Boeing 727-116"
"416","Boeing 727-121C"
"417","Boeing 727-134"
"418","Boeing 727-14"
"419","Boeing 727-171C"
"420","Boeing 727-172C"
"421","Boeing 727-193"
"422","Boeing 727-1F8"
"423","Boeing 727-200"
"424","Boeing 727-21"
"425","Boeing 727-212"
"426","Boeing 727-214"
"427","Boeing 727-21F"
"428","Boeing 727-22"
"429","Boeing 727-221F"
"430","Boeing 727-222"
"431","Boeing 727-223"
"432","Boeing 727-223F"
"433","Boeing 727-224"
"434","Boeing 727-224 Adv."
"435","Boeing 727-225"
"436","Boeing 727-225F"
"437","Boeing 727-227"
"438","Boeing 727-228"
"439","Boeing 727-228F"
