"","Model"
"1686","Handley Page HPR-7 Herald 207"
"1687","Handley Page HPR-7 Herald 214"
"1688","Handley Page HPR-7 Herald 401"
"1689","Handley Page HPR.1 Marathon 1A"
"1690","Handley Page Jetstream T.1"
"1691","Handley Page Marathon T.2"
"1692","Handley Page O/400"
"1693","Handley Page O/7"
"1694","Handley Page W.10"
"1695","Handley Page W.8g"
"1696","Harbin Yunshuji Y-12"
"1697","Harbin Yunshuji Y-12 II"
"1698","Hawker 800XP"
"1699","Hawker Beech 390 Premier IA"
"1700","Hawker Siddeley C-91 (HS-748-281 Sr"
"1701","Hawker Siddeley DH-125-1A"
"1702","Hawker Siddeley DH-125-3A"
"1703","Hawker Siddeley HS-121 Trident 1C"
"1704","Hawker Siddeley HS-121 Trident 1E"
"1705","Hawker Siddeley HS-121 Trident 2E"
"1706","Hawker Siddeley HS-121 Trident 3B"
"1707","Hawker Siddeley HS-125-1A"
"1708","Hawker Siddeley HS-125-1A-522"
"1709","Hawker Siddeley HS-125-1A-731"
"1710","Hawker Siddeley HS-125-3A"
"1711","Hawker Siddeley HS-125-3B"
"1712","Hawker Siddeley HS-125-400"
"1713","Hawker Siddeley HS-125-400A"
"1714","Hawker Siddeley HS-125-403B"
"1715","Hawker Siddeley HS-125-600A"
"1716","Hawker Siddeley HS-125-600B"
"1717","Hawker Siddeley HS-748"
"1718","Hawker Siddeley HS-780 Andover C.1"
"1719","HESA IrAn-140-100"
"1720","Honda HA-420 HondaJet"
"1721","Howard 250"
"1722","Howard 250 Tri-Gear"
"1723","Howard 350"
"1724","Howard 500"
"1725","Howard Cargo Harpoon"
"1726","Howard Super Ventura"
"1727","IAI 1123 Westwind"
"1728","IAI 1124 Westwind"
"1729","IAI 1124 Westwind"
"1730","IAI 1124 Westwind I"
"1731","IAI 1124A Westwind II"
"1732","IAI 1125 Astra"
"1733","IAI 1125 Astra SPX"
"1734","IAI 1126 Galaxy"
"1735","IAI Arava 102"
"1736","IAI Arava 201"
"1737","Ilyushin Il-114"
"1738","Ilyushin Il-114T"
"1739","Ilyushin Il-12"
"1740","Ilyushin Il-12B"
"1741","Ilyushin Il-12L"
"1742","Ilyushin Il-12P"
"1743","Ilyushin Il-12T"
"1744","Ilyushin Il-14"
"1745","Ilyushin Il-14D"
"1746","Ilyushin Il-14FK"
"1747","Ilyushin Il-14FKM"
"1748","Ilyushin Il-14M"
"1749","Ilyushin Il-14P"
"1750","Ilyushin Il-14T"
"1751","Ilyushin Il-18"
"1752","Ilyushin Il-18A"
"1753","Ilyushin Il-18B"
"1754","Ilyushin Il-18D"
"1755","Ilyushin Il-18D-40"
"1756","Ilyushin Il-18E"
"1757","Ilyushin Il-18Gr"
"1758","Ilyushin Il-18V"
"1759","Ilyushin Il-20"
"1760","Ilyushin Il-22M15"
"1761","Ilyushin Il-38"
"1762","Ilyushin Il-62"
"1763","Ilyushin Il-62M"
"1764","Ilyushin Il-76"
"1765","Ilyushin Il-76M"
"1766","Ilyushin Il-76MD"
"1767","Ilyushin Il-76MD Adnan-1"
"1768","Ilyushin Il-76MD Simorgh"
"1769","Ilyushin Il-76T"
"1770","Ilyushin Il-76TD"
"1771","Ilyushin Il-78"
"1772","Ilyushin Il-86"
"1773","IPTN/CASA CN-235-10"
"1774","IPTN/CASA CN-235M-100"
"1775","Junkers F.24kay (G.24)"
"1776","Junkers G.24"
"1777","Junkers G.24li"
"1778","Junkers G.31ba"
"1779","Junkers G.31go"
"1780","Junkers G.38gi/fi"
"1781","Junkers Ju-52"
"1782","Junkers Ju-52/3m"
"1783","Junkers Ju-52/3mce"
"1784","Junkers Ju-52/3mg14e"
"1785","Junkers Ju-52/3mg3e"
"1786","Junkers Ju-52/3mg4e"
"1787","Junkers Ju-52/3mg8e"
"1788","Junkers Ju-52/3mge"
"1789","Junkers Ju-52/3mho"
"1790","Junkers Ju-52/3mlu"
"1791","Junkers Ju-52/3mreo"
"1792","Junkers Ju-52/3msai"
"1793","Junkers Ju-52/3mte"
"1794","Junkers Ju-90A"
"1795","Junkers Ju-90V3"
"1796","Junkers R-42 (G.24)"
"1797","Kaiser-Frazer C-119G Flying Boxcar"
"1798","Kaiser-Frazer C-119L Flying Boxcar"
"1799","Kawasaki C-1"
"1800","Kawasaki Ki-56"
"1801","Kawasaki P-3C-II.5 Orion"
"1802","Latécoère 631"
"1803","Learjet 23"
"1804","Learjet 24"
"1805","Learjet 24A"
"1806","Learjet 24B"
"1807","Learjet 24D"
"1808","Learjet 24XR"
"1809","Learjet 25"
"1810","Learjet 25B"
"1811","Learjet 25C"
"1812","Learjet 25D"
"1813","Learjet 25XR"
"1814","Learjet 31"
"1815","Learjet 31A"
"1816","Learjet 35"
"1817","Learjet 35A"
"1818","Learjet 36A"
"1819","Learjet 45"
"1820","Learjet 55"
"1821","Learjet 55C"
"1822","Learjet 60"
"1823","Learjet C-21A (Learjet 35A)"
"1824","Learjet U-36A"
"1825","Let L-410"
"1826","Let L-410A"
"1827","Let L-410M"
"1828","Let L-410MA"
"1829","Let L-410MU"
"1830","Let L-410UVP"
"1831","Let L-410UVP-E"
"1832","Let L-410UVP-E10A"
"1833","Let L-410UVP-E20"
"1834","Let L-410UVP-E20C"
"1835","Let L-410UVP-E3"
"1836","Let L-410UVP-E9"
"1837","Lioré-et-Olivier H.242/1"
"1838","Lioré-et-Olivier H.246"
"1839","Lioré-et-Olivier H.246.1"
"1840","Lisunov Li-2"
"1841","Lisunov Li-2F"
"1842","Lisunov Li-2P"
"1843","Lisunov Li-2T"
"1844","Lisunov Li-2V"
"1845","Lisunov PS-84"
"1846","Lockheed 14-08 Super Electra"
"1847","Lockheed 14-H Super Electra"
"1848","Lockheed 14-H2 Super Electra"
"1849","Lockheed 14-N2 Super Electra"
"1850","Lockheed 14-N3 Super Electra"
"1851","Lockheed 14-WF62 Super Electra"
"1852","Lockheed 18 Learstar"
"1853","Lockheed 18 Learstar I"
"1854","Lockheed 18 Learstar II"
"1855","Lockheed 18 Lodestar"
"1856","Lockheed 414 Hudson III"
"1857","Lockheed 414 Hudson VI"
"1858","Lockheed 414-08 Hudson IVA"
"1859","Lockheed 414-08-10 Hudson IV"
"1860","Lockheed 414-56 Hudson IIIA"
"1861","Lockheed AC-130H Spectre"
"1862","Lockheed AC-130J Ghostrider"
"1863","Lockheed B-34 Lexington"
"1864","Lockheed C-121C Super Constellation"
"1865","Lockheed C-121G Super Constellation"
"1866","Lockheed C-130 Hercules"
"1867","Lockheed C-130A Hercules"
"1868","Lockheed C-130B Hercules"
"1869","Lockheed C-130D Hercules"
"1870","Lockheed C-130E Hercules"
"1871","Lockheed C-130E-I Hercules"
"1872","Lockheed C-130F Hercules"
"1873","Lockheed C-130H Hercules"
"1874","Lockheed C-130H-30 Hercules"
"1875","Lockheed C-130H2 Hercules"
"1876","Lockheed C-130J Super Hercules"
"1877","Lockheed C-130J-30 Super Hercules"
"1878","Lockheed C-141A Starlifter"
"1879","Lockheed C-141A-20-LM Starlifter"
"1880","Lockheed C-141A-LM Starlifter"
"1881","Lockheed C-141B Starlifter"
"1882","Lockheed C-56B-LO Lodestar"
"1883","Lockheed C-57 Lodestar"
"1884","Lockheed C-5A Galaxy"
"1885","Lockheed C-5B Galaxy"
"1886","Lockheed C-60A Lodestar"
"1887","Lockheed C-60A-1-LO Lodestar"
"1888","Lockheed CC-130B Hercules"
"1889","Lockheed CC-130E Hercules"
"1890","Lockheed CC-130H Hercules"
"1891","Lockheed CC-130H(T) Hercules"
"1892","Lockheed CP-140 Aurora"
"1893","Lockheed EC-121H Super Constellatio"
"1894","Lockheed EC-121K Super Constellatio"
"1895","Lockheed EC-121M Super Constellatio"
"1896","Lockheed EC-121R Super Constellatio"
"1897","Lockheed EC-121T Super Constellatio"
"1898","Lockheed EC-130E Hercules"
"1899","Lockheed EC-130G Hercules"
"1900","Lockheed EP-3E Orion"
"1901","Lockheed HC-130H Hercules"
"1902","Lockheed HC-130H7 Hercules"
"1903","Lockheed HC-130P Combat King"
"1904","Lockheed Hercules ???"
"1905","Lockheed Hercules C.1 (C-130K)"
"1906","Lockheed Hercules C.1P (C-130K)"
"1907","Lockheed Hercules C.3A (C-130K)"
"1908","Lockheed Hercules C.3P (C-130K)"
"1909","Lockheed Hercules C.4 (C-130J-30)"
"1910","Lockheed KC-130F Hercules"
"1911","Lockheed KC-130T Hercules"
"1912","Lockheed L-049 Constellation"
"1913","Lockheed L-100 Hercules"
"1914","Lockheed L-100-20 Hercules"
"1915","Lockheed L-100-30 Hercules"
"1916","Lockheed L-1011 TriStar"
"1917","Lockheed L-1011 TriStar 1"
"1918","Lockheed L-1011 TriStar 100"
"1919","Lockheed L-1011 TriStar 200"
"1920","Lockheed L-1011 TriStar 500"
"1921","Lockheed L-1011-385-1 TriStar 1"
"1922","Lockheed L-1011-385-1-14 TriStar 15"
"1923","Lockheed L-1011-385-3 TriStar 500"
"1924","Lockheed L-1049 Super Constellation"
"1925","Lockheed L-1049-54-80 Super Constel"
"1926","Lockheed L-1049C Super Constellatio"
"1927","Lockheed L-1049C-55-81 Super Conste"
"1928","Lockheed L-1049D Super Constellatio"
"1929","Lockheed L-1049E Super Constellatio"
"1930","Lockheed L-1049E-55 Super Constella"
"1931","Lockheed L-1049G Super Constellatio"
"1932","Lockheed L-1049G-82 Super Constella"
"1933","Lockheed L-1049H Super Constellatio"
"1934","Lockheed L-1049H-01-06-162 Super Co"
"1935","Lockheed L-1329 JetStar 731"
"1936","Lockheed L-1329 JetStar I"
"1937","Lockheed L-1329-25 JetStar II"
"1938","Lockheed L-149 Constellation"
"1939","Lockheed L-1649A Starliner"
"1940","Lockheed L-188 Electra"
"1941","Lockheed L-188A Electra"
"1942","Lockheed L-188AF Electra"
"1943","Lockheed L-188C Electra"
"1944","Lockheed L-188CF Electra"
"1945","Lockheed L-188PF Electra"
"1946","Lockheed L-649 Constellation"
"1947","Lockheed L-749 Constellation"
"1948","Lockheed L-749 Constellation (C-121"
"1949","Lockheed L-749 Constellation (VC-12"
"1950","Lockheed L-749-79 Constellation"
"1951","Lockheed L-749-79-33 Constellation"
"1952","Lockheed L-749-79-46 Constellation"
"1953","Lockheed L-749A Constellation"
"1954","Lockheed L-749A Constellation (VC-1"
"1955","Lockheed L-749A-79 Constellation"
"1956","Lockheed L-749A-79-33 Constellation"
"1957","Lockheed MC-130H Combat Talon II"
"1958","Lockheed Neptune MR.1"
"1959","Lockheed P-15 Neptune (P2V-5)"
"1960","Lockheed P-2E Neptune"
"1961","Lockheed P-2H Neptune"
"1962","Lockheed P-3A Orion"
"1963","Lockheed P-3B Orion"
"1964","Lockheed P-3C Orion"
"1965","Lockheed P2V Neptune"
"1966","Lockheed P2V-2 Neptune"
"1967","Lockheed P2V-2N Neptune"
"1968","Lockheed P2V-3 Neptune"
"1969","Lockheed P2V-5 Neptune"
"1970","Lockheed P2V-5F Neptune"
"1971","Lockheed P2V-6 Neptune"
"1972","Lockheed PV-1 Ventura"
"1973","Lockheed PV-2 Harpoon"
"1974","Lockheed PV-2D Harpoon"
"1975","Lockheed R7V-1 Super Constellation"
"1976","Lockheed RC-121C Super Constellatio"
"1977","Lockheed RC-121D Constellation"
"1978","Lockheed RC-121D Super Constellatio"
"1979","Lockheed SP-2E Neptune"
"1980","Lockheed SP-2H Neptune"
"1981","Lockheed WC-121N Super Constellatio"
"1982","Lockheed WC-130H Hercules"
"1983","Lockheed WV-2 Super Constellation"
"1984","Lockheed WV-3 Super Constellation"
"1985","Lockheed XP2V-1 Neptune"
"1986","Lockheed YMC-130H Hercules"
"1987","Macchi M.C.94-II"
"1988","Martin 2-0-2"
"1989","Martin 2-0-2A"
"1990","Martin 4-0-4"
"1991","Martin JRM-2 Mars"
"1992","Martin JRM-3 Mars"
"1993","Martin M-130"
"1994","Martin P5B Marlin"
"1995","Martin PBM-3S Mariner"
"1996","Martin PBM-5 Mariner"
"1997","Martin PBM-5A Mariner"
"1998","Martin VC-3A (4-0-4)"
"1999","MBB HFB-320 Hansa Jet"
"2000","MBB HFB-320ECM Hansa Jet"
"2001","McDonnell-Douglas DC-10-30CF"
"2002","MD-10-10F"
"2003","MD-10F"
"2004","MD-11"
"2005","MD-11C"
"2006","MD-11F"
"2007","MD-81"
"2008","MD-82"
"2009","MD-83"
"2010","MD-87"
"2011","MD-88"
"2012","MD-90-30"
"2013","Mitusbishi Mu-300 Diamond"
"2014","Mitusbishi Mu-300 Diamond I"
"2015","Mitusbishi Mu-300 Diamond IA"
"2016","Mitusbishi Mu-300-10 Diamond II"
"2017","Mohawk 298 (Nord 262)"
"2018","Morane Saulnier (FMA) MS.760 Paris"
"2019","Morane Saulnier MS.760 Paris I"
"2020","Morane Saulnier MS.760B Paris II"
"2021","NAMC YS-11"
"2022","NAMC YS-11-109"
"2023","NAMC YS-11-125"
"2024","NAMC YS-11-500R"
"2025","NAMC YS-11A-202"
"2026","NAMC YS-11A-205"
"2027","NAMC YS-11A-211"
"2028","NAMC YS-11A-213"
"2029","NAMC YS-11A-217"
"2030","NAMC YS-11A-301"
"2031","NAMC YS-11A-320"
"2032","NAMC YS-11A-500"
"2033","NAMC YS-11A-600"
"2034","NAMC YS-11A-621"
"2035","NAMC YS-11M-A-624"
"2036","National Aerospace Laboratories (NA"
"2037","Naval Aircraft Factory PBN-1 Nomad"
"2038","Nord 2501 Noratlas"
"2039","Nord 2501D Noratlas"
"2040","Nord 2502B Noratlas"
"2041","Nord 262A-27"
"2042","Nord 262A-33"
"2043","Nord 262A-34"
"2044","Nord 262A-42"
"2045","Nord 262A-44"
"2046","Nord 262B-11"
"2047","Nord 262D-51 Frégate"
"2048","Nord 262E"
"2049","North American-Rockwell Sabreliner"
"2050","North-American Rockwell T-39N Sabre"
"2051","North-American-Rockwell Sabreliner"
"2052","Northrop YC-125A Raider"
"2053","OA-10A Canso A (PBY-5A)"
"2054","Oakland Centaurus"
"2055","PADC/BN-2A-21 Islander"
"2056","PADC/BN-2A-26 Islander"
"2057","PADC/BN-2T Islander"
"2058","PB2B-1 Canso A (PBY-5A)"
"2059","PB2B-1 Catalina"
"2060","PB2B-1 Catalina IVB"
"2061","PBV-1A Canso (PBY-5A)"
"2062","PBV-1A Canso A (PBY-5A)"
"2063","Piaggio PD.808"
"2064","Pilatus Britten Norman BN2A-26 Isla"
"2065","Potez 62"
"2066","Potez 840"
"2067","Potez-CAMS 161"
"2068","PZL MD-12"
"2069","PZL-Mielec M28 Skytruck"
"2070","Raytheon 390 Premier I"
"2071","Raytheon 390 Premier IA"
"2072","Raytheon Beechjet 400A"
"2073","Raytheon Hawker 800XP"
"2074","Raytheon Hawker 850XP"
"2075","Raytheon U-125 (Hawker 800)"
"2076","Rockwell 1121 Jet Commander"
"2077","Rockwell 1121A Jet Commander"
"2078","Rockwell 1121B Jet Commander"
"2079","Rockwell CT-39G Sabreliner"
"2080","Rockwell Sabreliner 40"
"2081","Rockwell Sabreliner 40A"
"2082","Rockwell Sabreliner 60"
"2083","Rockwell Sabreliner 60SC"
"2084","Rockwell Sabreliner 65"
"2085","Rockwell Sabreliner 70"
"2086","Rockwell Sabreliner 75"
"2087","Rockwell Sabreliner 75A"
"2088","Rockwell Sabreliner 80"
"2089","Rockwell T-39N Sabreliner"
"2090","Saab 2000"
"2091","Saab 340A"
"2092","Saab 340B"
"2093","SAAB Scandia 90A-1"
"2094","SAAB Scandia 90A-2"
"2095","Sabca (Handley Page) W.8B"
"2096","Sabca Savoia-Marchetti S.73P"
"2097","Sabreliner 40"
"2098","Saunders ST-27"
"2099","Savoia-Marchetti S-66"
"2100","Savoia-Marchetti S.73"
"2101","Savoia-Marchetti S.73P"
"2102","Savoia-Marchetti SM-75"
"2103","Savoia-Marchetti SM-75 bis"
"2104","Savoia-Marchetti SM-75C"
"2105","Savoia-Marchetti SM-95B"
"2106","Scottish Aviation Twin Pioneer 1"
"2107","Scottish Aviation Twin Pioneer 2"
"2108","Scottish Aviation Twin Pioneer 3"
"2109","Scottish Aviation Twin Pioneer CC.1"
"2110","Scottish Aviation Twin Pioneer CC.2"
"2111","SE-210 Caravelle 10B3"
"2112","SE-210 Caravelle 10R"
"2113","SE-210 Caravelle 11R"
"2114","SE-210 Caravelle I"
"2115","SE-210 Caravelle IA"
"2116","SE-210 Caravelle III"
"2117","SE-210 Caravelle VI-N"
"2118","SE-210 Caravelle VI-R"
"2119","Shaanxi KJ-200 (Y-8)"
"2120","Shaanxi Y-8F-200W"
"2121","Shaanxi Yunshuji Y-8B"
"2122","Shin Meiwa PS-1"
"2123","Short L.17 Scylla"
"2124","Short S.17 Kent"
"2125","Short S.23 Empire Flying Boat Mk I"
"2126","Short S.23 Empire Flying Boat Mk II"
"2127","Short S.25 Sandringham 2"
"2128","Short S.25 Sandringham 4"
"2129","Short S.25 Sandringham 5"
"2130","Short S.25 Sandringham 6"
"2131","Short S.25 Sunderland 3"
"2132","Short S.25 Sunderland 5"
"2133","Short S.25 Sunderland GR.5"
"2134","Short S.25 Sunderland III"
"2135","Short S.30 Empire Flying Boat"
"2136","Short S.8 Calcutta"
"2137","Short S.8/1 Calcutta"
"2138","Short Sunderland"
"2139","Short Sunderland GR.3"
"2140","Short Sunderland GR.5"
"2141","Short Sunderland I"
"2142","Short Sunderland III"
"2143","Short Sunderland Mk II"
"2144","Short Sunderland MR.5"
"2145","Short Sunderland V"
"2146","Shorts 330-100"
"2147","Shorts 330-200"
"2148","Shorts 330-300UTT"
"2149","Shorts 360-100"
"2150","Shorts 360-200"
"2151","Shorts 360-300"
"2152","Shorts C-23B+ Sherpa (330)"
"2153","Shorts JC-23A Sherpa (330)"
"2154","Shorts S.26 G Class"
"2155","Shorts S.45 Solent 3"
"2156","Shorts SC.7 Skyvan"
"2157","Shorts SC.7 Skyvan 3"
"2158","Shorts SC.7 Skyvan 3-100"
"2159","Shorts SC.7 Skyvan 3-200"
"2160","Shorts SC.7 Skyvan 3-300"
"2161","Shorts SC.7 Skyvan 3-400"
"2162","Shorts SC.7 Skyvan 3A-200"
"2163","Shorts SC.7 Skyvan 3M-100"
"2164","Shorts SC.7 Skyvan 3M-400"
"2165","Shorts Sunderland IIIa"
"2166","Sikorsky S-42"
"2167","Sikorsky S-42A"
"2168","Sikorsky S-42B"
"2169","Sikorsky S-43"
"2170","Sikorsky S-43B"
"2171","Sikorsky S-43W"
"2172","Sino Swearingen SJ30-2"
"2173","SNCAC (Farman) NC.223.4"
"2174","SNCASE SE.161 Languedoc"
"2175","SNCASE SE.161/1 Languedoc"
"2176","SNCASE SE.161/P7 Languedoc"
"2177","SNCASE SE.200"
"2178","SNCASE SE.2010 Armagnac"
"2179","SNCASO S.O.93 Corse"
"2180","Spectrum Aeronautical Spectrum 33"
"2181","Steward-Davis Super Catalina (PBY-5"
"2182","Sud-Aviation SE-210 Caravelle"
"2183","Sukhoi Superjet 100-95"
"2184","Sukhoi Superjet 100-95B"
"2185","Swearingen SA226-AT Merlin IV"
"2186","Swearingen SA226-AT Merlin IVA"
"2187","Swearingen SA226-AT Metro III"
"2188","Swearingen SA226-TC Metro II"
"2189","Swearingen SA227-AC Metro III"
"2190","Swearingen SA227-AT Expediter"
"2191","Swearingen SA227-AT Merlin IVC"
"2192","Swearingen SA227-BC Metro III"
"2193","Swearingen SA227-CC Metro 23"
"2194","Swearingen SA227-DC Metro 23"
"2195","Swearingen SA227-DC Metro 23 (C-26B"
"2196","T-39A Sabreliner"
"2197","T-39A-1-NA Sabreliner"
"2198","T-39N Sabreliner"
"2199","Transall C-160F"
"2200","Transall C-160NG"
"2201","Transall C-160R"
"2202","Tupolev ANT-20 Maxim Gorky"
"2203","Tupolev ANT-20bis"
"2204","Tupolev G-2"
"2205","Tupolev Tu-104"
"2206","Tupolev Tu-104A"
"2207","Tupolev Tu-104B"
"2208","Tupolev Tu-114D"
"2209","Tupolev Tu-124"
"2210","Tupolev Tu-124V"
"2211","Tupolev Tu-134"
"2212","Tupolev Tu-134 ?"
"2213","Tupolev Tu-134A"
"2214","Tupolev Tu-134A-3"
"2215","Tupolev Tu-134AK"
"2216","Tupolev Tu-134B-3"
"2217","Tupolev Tu-134Sh2"
"2218","Tupolev Tu-134SKh"
"2219","Tupolev Tu-144D"
"2220","Tupolev Tu-144S"
"2221","Tupolev Tu-154"
"2222","Tupolev Tu-154A"
"2223","Tupolev Tu-154B"
"2224","Tupolev Tu-154B-1"
"2225","Tupolev Tu-154B-2"
"2226","Tupolev Tu-154M"
"2227","Tupolev Tu-154S"
"2228","Tupolev Tu-204-100"
"2229","Tupolev Tu-204-100V"
"2230","Tupolev Tu-204S"
"2231","U-1A Otter (DHC-3)"
"2232","UC-1 Otter (DHC-3)"
"2233","unknown"
"2234","unknown jetliner"
"2235","VEB 14P"
"2236","Vickers 498 Viking 1A"
"2237","Vickers 604 Viking 1B"
"2238","Vickers 610 Viking 1B"
"2239","Vickers 610 Viking 3B"
"2240","Vickers 614 Viking 1"
"2241","Vickers 615 Viking 1B"
"2242","Vickers 616 Viking 1B"
"2243","Vickers 620 Viking 1"
"2244","Vickers 627 Viking 1B"
"2245","Vickers 628 Viking 1B"
"2246","Vickers 630 Viscount"
"2247","Vickers 634 Viking 1B"
"2248","Vickers 635 Viking 1B"
"2249","Vickers 639 Viking 1"
"2250","Vickers 644 Viking 1B"
"2251","Vickers 651 Valetta C.1"
"2252","Vickers 657 Viking 1"
"2253","Vickers 663 Viscount"
"2254","Vickers 668 Varsity"
"2255","Vickers 668 Varsity T.1"
"2256","Vickers 701 Viscount"
"2257","Vickers 701C Viscount"
"2258","Vickers 708 Viscount"
"2259","Vickers 720 Viscount"
"2260","Vickers 724 Viscount"
"2261","Vickers 732 Viscount"
"2262","Vickers 735 Viscount"
"2263","Vickers 736 Viscount"
"2264","Vickers 739 Viscount"
"2265","Vickers 739A Viscount"
"2266","Vickers 739B Viscount"
"2267","Vickers 744 Viscount"
"2268","Vickers 745D Viscount"
"2269","Vickers 748D Viscount"
"2270","Vickers 749 Viscount"
"2271","Vickers 754D Viscount"
"2272","Vickers 755D Viscount"
"2273","Vickers 757 Viscount"
"2274","Vickers 759D Viscount"
"2275","Vickers 760D Viscount"
"2276","Vickers 761D Viscount"
"2277","Vickers 764D Viscount"
"2278","Vickers 768D Viscount"
"2279","Vickers 769D Viscount"
"2280","Vickers 782D Viscount"
"2281","Vickers 785D Viscount"
"2282","Vickers 794D Viscount"
"2283","Vickers 798D Viscount"
"2284","Vickers 802 Viscount"
"2285","Vickers 803 Viscount"
"2286","Vickers 804 Viscount"
"2287","Vickers 806 Viscount"
"2288","Vickers 807 Viscount"
"2289","Vickers 812 Viscount"
"2290","Vickers 813 Viscount"
"2291","Vickers 814 Viscount"
"2292","Vickers 815 Viscount"
"2293","Vickers 816 Viscount"
"2294","Vickers 818 Viscount"
"2295","Vickers 827 Viscount"
"2296","Vickers 828 Viscount"
"2297","Vickers 832 Viscount"
"2298","Vickers 835 Viscount"
"2299","Vickers 837 Viscount"
"2300","Vickers 838 Viscount"
"2301","Vickers 843 Viscount"
"2302","Vickers 951 Vanguard"
"2303","Vickers 952 Vanguard"
"2304","Vickers 952F Vanguard"
"2305","Vickers 953 Vanguard"
"2306","Vickers 953C Vanguard"
"2307","Vickers Super VC10-1151"
"2308","Vickers Super VC10-1154"
"2309","Vickers Valetta C.1"
"2310","Vickers Valetta C.2"
"2311","Vickers Valetta T.3"
"2312","Vickers Valetta T.4"
"2313","Vickers Varisty T.1"
"2314","Vickers Varsity T.1"
"2315","Vickers VC10-1101"
"2316","Vickers VC10-1102"
"2317","Vickers Viscount"
"2318","Viking Air DHC-6 Twin Otter 400"
"2319","Volpar Turboliner"
"2320","Volpar Turboliner II"
"2321","Vought-Sikorsky VS-44"
"2322","Xian MA60"
"2323","Xian Yunshuji Y-7"
"2324","Xian Yunshuji Y-7-100C"
"2325","Yakovlev Yak-40"
"2326","Yakovlev Yak-40A"
"2327","Yakovlev Yak-40D"
"2328","Yakovlev Yak-40EC"
"2329","Yakovlev Yak-40FG"
"2330","Yakovlev Yak-40K"
"2331","Yakovlev Yak-40S2"
"2332","Yakovlev Yak-42"
"2333","Yakovlev Yak-42D"
